"";"party";"content";"target";"stance"
"3651";"nld: Christian Democratic Appeal";"2.3.6 Bij het toelaten van arbeidsmigranten zijn de behoeften van de Nederlandse arbeidsmarkt leidend.";"immigration";"AGAINST"
"3652";"nld: Christian Democratic Appeal";"De resultaten van de pilots met ‘circulaire migratie’ bepalen de ruimte voor verdere ontwikkeling van dit concept.";"immigration";"NONE"
"3653";"nld: Christian Democratic Appeal";"Belangrijk is dat ‘circulaire migratie’ zowel voor Nederland en Europa als voor het land van herkomst een meerwaarde kan hebben.";"immigration";"FAVOR"
"3654";"nld: Christian Democratic Appeal";"Daadwerkelijke terugkeer na verloop van tijd is hierbij een van de voorwaarden.";"immigration";"AGAINST"
"3655";"nld: Christian Democratic Appeal";"Fraude en misbruik bij gezinsmigratie via de ‘België-route’ wordt aangepakt.";"immigration";"AGAINST"
"3656";"nld: Christian Democratic Appeal";"2.3.7 De (taal)eisen voor (huwelijks)migranten worden aangescherpt.";"immigration";"AGAINST"
"3657";"nld: Christian Democratic Appeal";"Nederland zet zich in Europees verband in voor verdere harmonisatie van het gezinsmigratiebeleid.";"immigration";"AGAINST"
"3658";"nld: Christian Democratic Appeal";"Daarnaast worden de mogelijkheden voor een diploma-eis onderzocht.";"integration";"AGAINST"
"3659";"nld: Christian Democratic Appeal";"2.3.8 Van vluchtelingen die om politieke of humanitaire redenen asiel in Nederland krijgen mag het verblijfsrecht niet ter discussie staan als zij bijstand aanvragen.";"immigration";"FAVOR"
"3660";"nld: Christian Democratic Appeal";"Ook voor vluchtelingen moet de toegang tot een uitkering daarom afhankelijk worden van medewerking aan een inburgeringtraject en de vervulling van de wettelijke arbeids- en re-integratieplicht.";"integration";"AGAINST"
"3661";"nld: Christian Democratic Appeal";"Van belang, zeker voor hoogopgeleide vluchtelingen, is dat erkenning van reeds opgedane werkervaring en behaalde diploma’s in het land van herkomst, bevorderd wordt.";"integration";"FAVOR"
"3662";"nld: Christian Democratic Appeal";"2.3.9 Terugkeer vormt een integraal onderdeel van het asiel- en migratiebeleid.";"immigration";"AGAINST"
"3663";"nld: Christian Democratic Appeal";"De inspanningen om met landen van herkomst afspraken te maken over terugkeer en het verbeteren van de procedures voor het afgeven van laissez-passers, zijn een kabinetsbrede verantwoordelijkheid en komen aan de orde in alle internationale contacten met deze landen.";"integration";"AGAINST"
"3664";"nld: Christian Democratic Appeal";"Daarbij zal moeten worden gestreefd naar meer samenwerking tussen de EU- (en Schengen) lidstaten, zowel op operationeel (charters) als op diplomatiek niveau.";"immigration";"FAVOR"
"3665";"nld: Christian Democratic Appeal";"2.3.10 Alleenstaande minderjarige vreemdelingen moeten zoveel mogelijk worden herenigd met hun ouders of familie in het land van herkomst.";"immigration";"AGAINST"
"3666";"nld: Christian Democratic Appeal";"Het traceren van ouders en familie moet worden geïntensiveerd.";"immigration";"AGAINST"
"3667";"nld: Christian Democratic Appeal";"Als terugkeer niet mogelijk is, omdat er geen ouders of familieleden (te traceren) zijn, moeten in de landen van herkomst opvangvoorzieningen worden opgezet waarnaar deze minderjarigen kunnen terugkeren.";"immigration";"AGAINST"
"3668";"nld: Christian Democratic Appeal";"2.3.11 De mogelijkheden om criminele vreemdelingen versneld uit te zetten worden verruimd.";"immigration";"AGAINST"
"3669";"nld: Christian Democratic Appeal";"Om illegaliteit effectiever te bestrijden wordt hard opgetreden tegen mensen die van illegalen profiteren, zoals werkgevers, huisjesmelkers en mensensmokkelaars.";"immigration";"AGAINST"
"3670";"nld: Christian Democratic Appeal";"Hierdoor wordt voorkomen dat daders uit andere landen zich anoniem vestigen in ons land waardoor toezicht en preventie onmogelijk is.";"immigration";"AGAINST"
"3671";"nld: Christian Democratic Appeal";"Juist in een globaliserende wereld hebben mensen behoefte aan eigenheid en aan verbondenheid.";"integration";"FAVOR"
"3672";"nld: Christian Democratic Appeal";"3.1.4 Bij de discussie over segregatie in het onder-wijs moet niet de etnische samenstelling van de leerlingpopulatie centraal staan, maar de kwaliteit van het onderwijs op school.";"integration";"FAVOR"
"3673";"nld: Christian Democratic Appeal";"Integra-tie van nieuwe Nederlanders wordt het best bevorderd door kwalitatief goed onderwijs.";"integration";"FAVOR"
"3674";"nld: Christian Democratic Appeal";"Dit geldt zowel voor autochtone als allochtone kinderen.";"integration";"NONE"
"3675";"nld: Christian Democratic Appeal";"Re-integratie en arbeidsmarktbeleid komen zo in één hand.";"integration";"FAVOR"
"3676";"nld: Christian Democratic Appeal";"Re-integratiebedrijven dienen te worden ingezet voor moeilijk plaatsbaren.";"integration";"AGAINST"
"3677";"nld: Christian Democratic Appeal";"Er moet een duidelijke koppeling zijn tussen immigratiebeleid en sociale zekerheid.";"immigration";"FAVOR"
"3678";"nld: Christian Democratic Appeal";"Voor arbeidsmigranten is het verblijfsrecht verbonden aan het doel om hier te werken.";"immigration";"FAVOR"
"3679";"nld: Christian Democratic Appeal";"Bij beroep op de bijstand wordt het verblijfsrecht beëindigd, behalve bij vluchtelingen.";"immigration";"AGAINST"
"3680";"nld: Christian Democratic Appeal";"Ook bij arbeidsmigratie binnen Europa wordt de mogelijkheid om binnen vijf jaar het verblijfsrecht te beëindigen bij een beroep op bijstand beter benut, door de informatie van sociale diensten en de IND beter te koppelen.";"immigration";"FAVOR"
"3681";"nld: Christian Democratic Appeal";"5.2.10 Het CDA wil de export van de welvaartstoeslagen op de uitkeringen staken voor zover deze zijn gebaseerd op het welvaart- en voorzieningenniveau in Nederland.";"immigration";"AGAINST"
"3682";"nld: Christian Democratic Appeal";"De export van kinderbijslag naar landen buiten de EU wordt gestaakt.";"immigration";"AGAINST"
"3683";"nld: Christian Democratic Appeal";"Het kiesrecht voor Provinciale Staten en Tweede Kamer blijft voorbehouden aan Nederlandse staatsburgers.";"integration";"AGAINST"
"3684";"nld: Christian Democratic Appeal";"De 3D-inzet van defence, diplomacy en development (Defensie, Diplomatie en Ont-wikkelingssamenwerking) van Nederland in de Afghaanse provincie Uruzgan is internationaal gewaardeerd.";"immigration";"NONE"
"3685";"nld: Christian Democratic Appeal";"Tevens vindt inzet plaats in de strijd tegen drugs, ter-rorisme en illegale immigratie.";"immigration";"AGAINST"
"3686";"nld: Christian Union";"Een andere grote vraag waar we voor staan, is of we in staat zijn vreedzaam met onze verschillen om te gaan.";"integration";"FAVOR"
"3687";"nld: Christian Union";"De overheid is hierin een bondgenoot van de lokale bewoners door te werken aan integratie van nieuwkomers en bijvoorbeeld het algemene gebruik van het Nederlands verder te stimuleren zodat we elkaar allemaal verstaan.";"integration";"FAVOR"
"3688";"nld: Christian Union";"Met 22 gemeenten is specifiek ingezet op het terugdringen van overlast door Marokkaans-Nederlandse probleemjongeren, o.a. door gezinsmanagers en straatcoaches.";"integration";"AGAINST"
"3689";"nld: Christian Union";"Ouders en andere gezagsdragers moeten daarin hun verantwoordelijkheid nemen.";"integration";"FAVOR"
"3690";"nld: Christian Union";"Het onderlinge vertrouwen moet nu verder groeien en ons land is daarom nu niet gebaat bij grootschalige immigratie.";"immigration";"AGAINST"
"3691";"nld: Christian Union";"De komst van migranten naar Nederland heeft onze samenleving in veel gevallen verrijkt.";"immigration";"FAVOR"
"3692";"nld: Christian Union";"Zo zien we bijvoorbeeld in delen van de grote steden hoe multiculturele kerken op een inspirerende manier het christelijk geloof en de sociale samenhang hebben teruggebracht in hun wijken.";"integration";"FAVOR"
"3693";"nld: Christian Union";"De gevolgen van de instroom van nieuwkomers zijn vooral merkbaar in wijken die in sociaal en economisch opzicht het meest kwetsbaar zijn.";"integration";"AGAINST"
"3694";"nld: Christian Union";"Ondertussen voelen veel migranten zich nog altijd buitenstaanders.";"integration";"AGAINST"
"3695";"nld: Christian Union";"Er zijn sociale, culturele, religieuze, economische en politieke tegenstellingen langs etnische en culturele scheidslijnen die op dit moment de hele samenleving onder druk zetten.";"integration";"AGAINST"
"3696";"nld: Christian Union";"Teveel mensen voelen zich ontheemd in eigen land.";"integration";"AGAINST"
"3697";"nld: Christian Union";"Van nieuwkomers vragen we geen assimilatie, maar wel aanvaarding van de rechtsstaat.";"integration";"NONE"
"3698";"nld: Christian Union";"Die rechtsstaat, die sterk beïnvloed is door de waarden van het christendom, maakt alle burgers voor de wet gelijk.";"integration";"FAVOR"
"3699";"nld: Christian Union";"We hebben als land van minderheden in dit opzicht een rijke traditie hoog te houden.";"integration";"FAVOR"
"3700";"nld: Christian Union";"Ook als we diepgaande religieuze verschillen hebben of ons aan elkaar ergeren, blijft de ruimte voor verschil – binnen de grenzen van de wet – gewaarborgd.";"integration";"FAVOR"
"3701";"nld: Christian Union";"Die inburgering houdt niet op bij het afleggen van een examen; ook daarna moet participatie van nieuwkomers gestimuleerd blijven worden.";"integration";"FAVOR"
"3702";"nld: Christian Union";"Nieuwkomers worden niet behandeld als mensen die zichzelf niet kunnen redden - zo voelen zij dat zelf ook meestal niet - maar als volwaardige en mondige burgers.";"integration";"FAVOR"
"3703";"nld: Christian Union";"Subsidies in het kader van het integratiebeleid zijn bedoeld als tijdelijke stimulering van participerend burgerschap.";"integration";"FAVOR"
"3704";"nld: Christian Union";"Niet voor het permanent in stand houden van multiculturele organisaties.";"integration";"FAVOR"
"3705";"nld: Christian Union";"Multiculturele kerken hebben bijvoorbeeld een belangrijke positieve functie voor veel nieuwe bevolkingsgroepen.";"integration";"FAVOR"
"3706";"nld: Christian Union";"Discriminatie in welke vorm dan ook wordt bestreden.";"integration";"FAVOR"
"3707";"nld: Christian Union";"Inburgering wordt een praktijkopleiding die iedere nieuwkomer moet doorlopen.";"integration";"AGAINST"
"3708";"nld: Christian Union";"Lessen Nederlandse taal en cultuur worden gecombineerd met een vakopleiding, vrijwilligerswerk of een betaalde baan.";"integration";"AGAINST"
"3709";"nld: Christian Union";"Hoog opgeleide nieuwkomers en kennismigranten volgen een voortraject dat aansluit op hun specifieke situatie.";"integration";"FAVOR"
"3710";"nld: Christian Union";"Diensten van de overheid aan de burger worden in het Nederlands aangeboden.";"integration";"AGAINST"
"3711";"nld: Christian Union";"Onze multiculturele samenleving is ook een multireligieuze samenleving geworden.";"integration";"FAVOR"
"3712";"nld: Christian Union";"Zeker de komst van de islam plaatst de samenleving voor een nieuwe uitdaging.";"integration";"AGAINST"
"3713";"nld: Christian Union";"Islamitische landen hebben bovendien op dit moment veelal een gebrek aan politieke en religieuze vrijheid.";"integration";"AGAINST"
"3714";"nld: Christian Union";"Zo is het pijnlijk te constateren dat christenen en joden in islamitische landen vervolgd worden of als tweederangsburger worden beschouwd.";"integration";"NONE"
"3715";"nld: Christian Union";"Dat onderstreept de noodzaak van een waardig en inhoudelijk cultureel debat over de gevolgen van de komst van de islam hier en de identiteit van Nederland.";"integration";"AGAINST"
"3716";"nld: Christian Union";"De ChristenUnie brengt in dat gesprek de christelijke waarden in die onze cultuur mede hebben gevormd.";"integration";"NONE"
"3717";"nld: Christian Union";"Segregatie en wederzijdse vervreemding moeten worden voorkomen, ook in het onderwijs (zie ook de kader Bijzonder Onderwijs).";"integration";"FAVOR"
"3718";"nld: Christian Union";"Waar blijkt dat het islamitisch onderwijs kinderen afzondert van de rest van de samenleving kunnen scholen ervoor kiezen samenwerkingsverbanden met een school van een andere richting aan te gaan.";"integration";"FAVOR"
"3719";"nld: Christian Union";"Door gezamenlijke culturele en sportieve activiteiten te organiseren, komen kinderen met verschillende achtergronden spelenderwijs met elkaar in aanraking.";"integration";"FAVOR"
"3720";"nld: Christian Union";"De (dreigende) radicalisering van sommige moslimjongeren vraagt om alertheid en adequaat optreden van zowel de islamitische gemeenschap zelf als de overheid.";"integration";"AGAINST"
"3721";"nld: Christian Union";"Voor de toekomst van ons land is iedereen even belangrijk en telt iedereen mee.";"integration";"FAVOR"
"3722";"nld: Christian Union";"Zo zijn er ongeveer evenveel migranten met een islamitische achtergrond als migranten met een christelijke achtergrond.";"integration";"NONE"
"3723";"nld: Christian Union";"Tegelijk is veel integratiebeleid versmald tot islambeleid dat via de moskee wordt uitgevoerd.";"integration";"AGAINST"
"3724";"nld: Christian Union";"De (lokale) overheid heeft soms zelfs een religieuze agenda ontwikkeld teneinde een ‘gematigde islam’ te stimuleren, wat allerminst een taak van de overheid is.";"integration";"AGAINST"
"3725";"nld: Christian Union";"De moskee is niet de eerste aangewezen plaats voor het contact tussen overheid en nieuwkomers.";"integration";"AGAINST"
"3726";"nld: Christian Union";"Concreet staat de ChristenUnie het volgende beleid voor:";"integration";"NONE"
"3727";"nld: Christian Union";"De Minister van Integratie zet zich in voor een waardig debat over de gevolgen van de komst van de islam naar Nederland.";"integration";"NONE"
"3728";"nld: Christian Union";"De ruimte voor religie – dus ook voor de islam – in de publieke ruimte blijft.";"integration";"FAVOR"
"3729";"nld: Christian Union";"Iedereen heeft de vrijheid om ook in het publieke domein zijn hart te laten spreken.";"integration";"FAVOR"
"3730";"nld: Christian Union";"Om de integratie van Turkse en Marokkaanse Nederlanders te bevorderen wordt de bemoeienis met Nederlandse minderheden vanuit de landen van herkomst ontmoedigd.";"integration";"AGAINST"
"3731";"nld: Christian Union";"Overtredingen van de strafwet zijn ook strafwaardig als zij religieus zijn gemotiveerd.";"immigration";"AGAINST"
"3732";"nld: Christian Union";"Houders van een niet-Nederlands paspoort die zich tegen de Nederlandse samenleving en haar rechtsstaat keren, mogen daaruit worden verwijderd.";"integration";"AGAINST"
"3733";"nld: Christian Union";"De overheid voert noch een religieus noch een seculier voorkeursbeleid.";"integration";"NONE"
"3734";"nld: Christian Union";"Identiteitsgebonden en niet-identiteitsgebonden maatschappelijke organisaties worden, bijvoorbeeld in het subsidiebeleid, op gelijke voet behandeld.";"integration";"AGAINST"
"3735";"nld: Christian Union";"Het opkomen voor de vreemdeling is een christelijke roeping.";"integration";"FAVOR"
"3736";"nld: Christian Union";"Als Nederland voor politieke vluchtelingen geen wijkplaats is, werken wij mee aan hun onderdrukking.";"immigration";"FAVOR"
"3737";"nld: Christian Union";"Het is van belang dat de opvang van vluchtelingen en de toetsing van asielaanvragen zo dicht mogelijk bij de bron plaatsvinden: in de regio waar de vluchtelingen vandaan komen.";"immigration";"AGAINST"
"3738";"nld: Christian Union";"Nederland helpt, zoveel mogelijk in Europees verband, landen die zodoende met de opvang van veel vluchtelingen te maken krijgen.";"immigration";"AGAINST"
"3739";"nld: Christian Union";"Sinds de invoering van de nieuwe Vreemdelingenwet in 2001 is de instroom van asielzoekers teruggebracht van 60.000 naar 15.000.";"immigration";"AGAINST"
"3740";"nld: Christian Union";"Nederland blijft invulling geven aan zijn internationale verantwoordelijkheid om bij te dragen aan de bescherming van vluchtelingen.";"immigration";"FAVOR"
"3741";"nld: Christian Union";"Naast de eerder genoemde bescherming in de eigen regio blijft er ook een verantwoordelijkheid voor vluchtelingenbescherming in Nederland.";"immigration";"FAVOR"
"3742";"nld: Christian Union";"Het moment is gekomen om het huidige strenge beleid om te buigen naar een rechtvaardig beleid.";"immigration";"FAVOR"
"3743";"nld: Christian Union";"De uitvoering van de pardonregeling heeft geleerd dat er geen gevaar voor aanzuigende werking is gebleken.";"immigration";"NONE"
"3744";"nld: Christian Union";"Daarmee wordt tegemoet gekomen aan de ernstige klachten van internationale mensenrechtenorganisaties.";"immigration";"FAVOR"
"3745";"nld: Christian Union";"Drie maanden na indiening van het asielverzoek gaat het recht op taalonderwijs in;";"integration";"FAVOR"
"3746";"nld: Christian Union";"Dit werk heeft geen gevolgen voor de verblijfsrechten;";"integration";"FAVOR"
"3747";"nld: Christian Union";"De tijdelijkheid van de asielvergunning wordt teruggebracht van vijf naar drie jaar;";"immigration";"AGAINST"
"3748";"nld: Christian Union";"Nederland verplicht zich tegenover de UNHCR om een substantieel hoger aantal vluchtelingen dan nu het geval is op te nemen, die uit een gevaarlijke en uitzichtloze situatie dringend herhuisvesting nodig hebben.";"immigration";"FAVOR"
"3749";"nld: Christian Union";"Als vluchtelingen zich in ons land melden, hebben zij recht op een snelle en zorgvuldige procedure.";"immigration";"FAVOR"
"3750";"nld: Christian Union";"Zeker nu het Europees Verdrag in werking is getreden, zal het vluchtelingenbeleid meer in samenwerking tussen en in afstemming met de EU geregeld moeten worden.";"immigration";"FAVOR"
"3751";"nld: Christian Union";"In het geval van gedwongen terugkeer zal zeker moeten worden gesteld dat in het land van herkomst fundamentele mensenrechten, zoals de godsdienstvrijheid, niet worden geschonden.";"immigration";"AGAINST"
"3752";"nld: Christian Union";"Vluchtelingen worden niet teruggestuurd als dat gevaar voor leven of vrijheid oplevert.";"immigration";"FAVOR"
"3753";"nld: Christian Union";"Dit is in het bijzonder een aandachtspunt bij terugkeer naar islamitische landen.";"immigration";"FAVOR"
"3754";"nld: Christian Union";"Asielzoekers die nog in afwachting zijn van een besluit over een verblijfsvergunning mogen betaald werk verrichten, maar zij bouwen op deze manier geen rechten op die een eventuele terugkeer naar het land van herkomst bemoeilijken.";"immigration";"FAVOR"
"3755";"nld: Christian Union";"De leefomstandigheden voor asielzoekers en vooral voor kinderen, moeten sterk worden verbeterd.";"integration";"FAVOR"
"3756";"nld: Christian Union";"Kinderen horen niet in detentie.";"integration";"AGAINST"
"3757";"nld: Christian Union";"Nederland kan niet onbeperkt mensen opnemen die vooral uit economische motieven een verblijfsvergunning willen hebben.";"immigration";"AGAINST"
"3758";"nld: Christian Union";"De overheid dient zich in te zetten voor verbetering van economische perspectieven en opvang van vluchtelingen elders in de wereld.";"immigration";"FAVOR"
"3759";"nld: Christian Union";"Het voorkomen van illegale immigratie is op de lange duur alleen kansrijk, als ook wordt gewerkt aan verbetering van de leef- en werkomstandigheden in de landen van herkomst.";"immigration";"AGAINST"
"3760";"nld: Christian Union";"Nederland zet zich, op basis van het Vluchtelingenverdrag, in voor het bereiken van duurzame oplossingen voor de vluchtelingenproblematiek en stelt vanuit het budget van Ontwikkelingssamenwerking per jaar een substantieel bedrag aan de UNHCR beschikbaar.";"immigration";"NONE"
"3761";"nld: Christian Union";"Er wordt naar gestreefd niet alleen de eerste opvang, maar ook de beoordeling van het vluchtverhaal (de asieltoets) plaats te laten vinden in de eigen regio, bij voorkeur in opvangcentra onder beheer van de Verenigde Naties.";"immigration";"NONE"
"3762";"nld: Christian Union";"Waar voor vluchtelingen geen uitzicht is op lokale integratie of terugkeer dient Nederland zich solidair te tonen en vluchtelingen de mogelijkheid tot hervestiging te bieden.";"immigration";"FAVOR"
"3763";"nld: Christian Union";"Asielzoekers behoren zo snel mogelijk te weten waar zij aan toe zijn.";"immigration";"FAVOR"
"3764";"nld: Christian Union";"Vrijwillige terugkeer is de meest duurzame vorm van terugkeer met het beste perspectief op een succesvolle re-integratie.";"integration";"FAVOR"
"3765";"nld: Christian Union";"Daarom is persoonlijke begeleiding en individueel maatwerk noodzakelijk om te komen tot een zorgvuldige terugkeer met perspectief.";"immigration";"AGAINST"
"3766";"nld: Christian Union";"Een effectief terugkeerbeleid is van groot belang.";"immigration";"AGAINST"
"3767";"nld: Christian Union";"Op landen die weigeren uitgeprocedeerde asielzoekers weer op te nemen, dient in EU-verband druk te worden uitgeoefend.";"immigration";"AGAINST"
"3768";"nld: Christian Union";"Wanneer tot twee maal toe geen laissez passer wordt afgegeven, krijgen de asielzoekers uit humanitaire overwegingen een verblijfsvergunning in ons land, tenzij de asielzoekers verwijtbaar gedrag vertonen.";"immigration";"NONE"
"3769";"nld: Christian Union";"Vreemdelingen die in ons land zijn overgegaan naar een andere godsdienst worden in geen geval gedwongen terug te keren naar het land van herkomst, indien daar in de praktijk sprake is van vervolging van betrokkene.";"immigration";"FAVOR"
"3770";"nld: Christian Union";"De overheid biedt asielzoekers in procedure in Nederland opvang aan.";"immigration";"FAVOR"
"3771";"nld: Christian Union";"Gezinnen van asielzoekers en vluchtelingen worden niet gescheiden.";"immigration";"FAVOR"
"3772";"nld: Christian Union";"Vluchtelingen worden in staat gesteld zo spoedig mogelijk met hun gezinsleden te herenigen.";"immigration";"FAVOR"
"3773";"nld: Christian Union";"De nareistermijn wordt daartoe verlengd.";"immigration";"AGAINST"
"3774";"nld: Christian Union";"Gemeenten hebben de plicht mensen die door toedoen van de Dienst Terugkeer & Vertrek (DT&V) als illegaal op straat worden gezet, in een noodopvang te plaatsen.";"integration";"NONE"
"3775";"nld: Christian Union";"De inspanningen voor de leefbaarheid van onze samenleving vragen nu wel een kritische blik naar de instroom van nieuwkomers in ons land.";"immigration";"AGAINST"
"3776";"nld: Christian Union";"Een samenleving waarin de integratie in harmonie verloopt en waarin diversiteit kan worden gewaardeerd, is slechts mogelijk bij beheersing en regulering van immigratiestromen.";"integration";"FAVOR"
"3777";"nld: Christian Union";"Beheersing betekent: beperking van de omvang.";"immigration";"AGAINST"
"3778";"nld: Christian Union";"Regulering betekent: toegang tot Nederland geschiedt onder voorwaarden.";"immigration";"AGAINST"
"3779";"nld: Christian Union";"Alleen dan kunnen burgers in deze samenleving met en voor elkaar verantwoordelijkheid dragen en nemen.";"integration";"FAVOR"
"3780";"nld: Christian Union";"Nieuwkomers leggen een inburgeringsexamen af.";"integration";"AGAINST"
"3781";"nld: Christian Union";"Even wicht tussen eigen verantwoordelijkheid en solidariteit gaat gepaard met het uitgangspunt dat de inburgering zelf wordt bekostigd, uitgezonderd vluchtelingen.";"integration";"NONE"
"3782";"nld: Christian Union";"Het inburgeringsexamen toetst ook de kennis van centrale Nederlandse waarden zoals onze politieke en religieuze vrijheden.";"integration";"AGAINST"
"3783";"nld: Christian Union";"De leges voor verblijfvergunningen worden bepaald op een zodanig niveau dat het bedrag zelf geen belemmering vormt voor het verkrijgen van een verblijfsvergunning of gezinshereniging.";"immigration";"FAVOR"
"3784";"nld: Christian Union";"Steeds duikt ze weer op, de discussie over de bijdrage van het bijzonder onderwijs aan integratie.";"integration";"FAVOR"
"3785";"nld: Christian Union";"Op katholieke scholen was 45procent van de leerlingen allochtoon, op openbare scholen 49 procent en op protestantse scholen 50 procent.";"integration";"NONE"
"3786";"nld: Christian Union";"In reactie op het plan van de acceptatieplicht benadrukt ook de Besturenraad, de koepelorganisatie voor protestants-christelijk onderwijs, dat christelijke scholen niet minder allochtone leerlingen opnemen dan andere scholen.";"integration";"AGAINST"
"3787";"nld: Christian Union";"‘Witte’ en ‘zwarte’ scholen ontstaan niet omdat scholen bepaalde kinderen weigeren, maar omdat ouders voor een bepaalde school kiezen.";"integration";"NONE"
"3788";"nld: Christian Union";"Het is onterecht en zelfs beledigend voor de scholen die het betreft om te suggereren dat een identiteitsgebonden school selecteert op kleur of etniciteit.";"integration";"FAVOR"
"3789";"nld: Christian Union";"Niet alleen het katholiek of PC-onderwijs, maar ook de kleinere richtingen – gereformeerd, reformatorisch, evangelisch, islamitisch – zetten zich in voor ontmoeting en integratie.";"integration";"FAVOR"
"3790";"nld: Christian Union";"Zo zijn in Rotterdam het reformatorische Wartburg College en het islamitische Ibn Ghaldoen vorig jaar een uitwisselingsprogramma gestart.";"integration";"FAVOR"
"3791";"nld: Christian Union";"Leerlingen vertellen over en weer over elkaars geloof en cultuur.";"integration";"FAVOR"
"3792";"nld: Christian Union";"Het is een voorbeeld van twee scholen die staan voor hun identiteit, maar ondertussen werken aan integratie.";"integration";"FAVOR"
"3793";"nld: Christian Union";"Op eigen initiatief, zonder wettelijke dwang.";"integration";"FAVOR"
"3794";"nld: Christian Union";"De acceptatieplicht is een vorm van symboolpolitiek die iets anders bereikt dan wat de partijen zeggen te willen bereiken.";"integration";"FAVOR"
"3795";"nld: Christian Union";"En dan niet op basis van kleur, maar op basis van feitelijke achterstand.";"integration";"AGAINST"
"3796";"nld: Christian Union";"Dezelfde reden dus waarom ook sommige ‘witte’ scholen op het platteland extra ondersteuning krijgen.";"integration";"FAVOR"
"3797";"nld: Christian Union";"Dat leidt er toe dat de leerlingen op ‘zwarte scholen’ in Nederland veel sneller hun achterstanden inhalen dan de leerlingen op de ‘zwarte scholen’ in Amerika.";"integration";"FAVOR"
"3798";"nld: Christian Union";"Ze geeft jong en oud, mensen met allerlei verschillende culturele en religieuze achtergronden de gelegenheid samen te spelen.";"integration";"FAVOR"
"3799";"nld: Christian Union";"Ze integreert en brengt zelfs veel jongeren over de grenzen van ons land.";"integration";"NONE"
"3800";"nld: Christian Union";"Er zijn naar schatting ongeveer 40.000 dak- en thuislozen in ons land.";"integration";"NONE"
"3801";"nld: Christian Union";"De groep daklozen is zeer divers: drugsverslaafden, alcoholisten, psychiatrisch patiënten, asielzoekers zonder opvang, illegalen en zwerfjongeren.";"integration";"AGAINST"
"3802";"nld: Christian Union";"Blijft voorlichting en preventie op scholen en in jeugdcentra, jeugdinrichtingen en asielzoekerscentra van groot belang.";"integration";"FAVOR"
"3803";"nld: Christian Union";"Het is van belang dat wij de diversiteit in de samenleving erkennen, dat wij de dialoog en ontmoeting bevorderen en dat hierover ook op scholen en tijdens inburgeringscursussen voorlichting wordt gegeven.";"integration";"FAVOR"
"3804";"nld: Christian Union";"Op scholen en bij inburgeringscursussen moet voorlichting worden gegeven over diversiteit en de wijze waarop wij minderheden de ruimte geven.";"integration";"FAVOR"
"3805";"nld: Christian Union";"Die combinatie van integratie en diversiteit is uniek en wordt gedragen door ledenomroepen waaraan bijna vier miljoen Nederlanders zich hebben verbonden.";"integration";"FAVOR"
"3806";"nld: Christian Union";"Voor arbeidsmigranten komt een hogere drempel om recht te krijgen op WW.";"integration";"NONE"
"3807";"nld: Christian Union";"Re-integratietrajecten bieden uitzicht op minimaal 1 jaar werk.";"integration";"AGAINST"
"3808";"nld: Christian Union";"en de gemeenten worden verantwoordelijk voor alle re-integratie.";"integration";"FAVOR"
"3809";"nld: Christian Union";"Het Statuut voor het Koninkrijk en de Grondwet kunnen hierbij een belangrijke rol spelen.";"integration";"FAVOR"
"3810";"nld: Christian Union";"Nederland is een land van minderheden.";"integration";"FAVOR"
"3811";"nld: Christian Union";"De samenleving fragmentariseert, en het lijkt er ook nog eens op dat al die minderheden elkaar steeds minder kunnen vinden.";"integration";"FAVOR"
"3812";"nld: Christian Union";"Verschillen worden niet meer getolereerd, overtuigingen niet meer geaccepteerd.";"integration";"AGAINST"
"3813";"nld: Christian Union";"In de tweede plaats een hernieuwd besef bij iedereen in dit land, dat tolerantie geen onverschilligheid betekent (dat doet geen pijn) maar een samenleven in één land, terwijl verschillen van levenswijze en levensovertuiging wel degelijk steken en botsen.";"integration";"FAVOR"
"3814";"nld: Christian Union";"De liberaal moet de christen zien staan; de moslim de jood; de christen de moslim, enzovoorts.";"integration";"FAVOR"
"3815";"nld: Christian Union";"Als die weg er is, wordt die dan ook gekozen.";"integration";"FAVOR"
"3816";"nld: Christian Union";"Een goed voorbeeld is de Haagse Verklaring (2007) inzake de vrijheid van godsdienst en levensbeschouwing.";"integration";"FAVOR"
"3817";"nld: Christian Union";"Christenen, islamieten, hindoes, humanisten, joden, bahai’s en soefi’s hebben voor elkaar en aan elkaar de vrijheid verklaard om hun eigen godsdienst en levensovertuiging te huldigen en uit te dragen en die van anderen de verdragen.";"integration";"FAVOR"
"3818";"nld: Christian Union";"Een weg tussen onverdraagzaamheid en polari-satie aan de ene kant, en gelijkschakeling en neutraliteitsdwang aan de andere kant.";"integration";"NONE"
"3819";"nld: Christian Union";"Deze rechten worden ook onderhouden in de samenleving.";"integration";"FAVOR"
"3820";"nld: Christian Union";"Waar hoofddoekjes niet tot functionele bezwaren leiden, vormt dit evenmin een belemmering.";"integration";"FAVOR"
"3821";"nld: Christian Union";"Dit besef van diversiteit klinkt ook door bij de aanstelling van ambtenaren van de burgerlijke stand.";"integration";"FAVOR"
"3822";"nld: Christian Union";"Op zichzelf vormen opvattingen en (religieuze) levensovertuigingen geen bedreiging voor de nationale rechtsorde.";"integration";"FAVOR"
