party,content,target,stance
nld: Reformed Political Party,"Discriminatie op basis van ras, afkomst of huidskleur moet krachtig worden bestreden.",Integration,FAVOR
nld: Labour Party,Gescheiden werelden langs etnische lijnen bedreigen de sociale samenhang van ons land.,Integration,AGAINST
nld: Democrats‘66,Het recht op bescherming en Europese solidariteit moeten centraal staan.,Immigration,FAVOR
nld: Labour Party,Daarnaast moet het onderwijsconcept binnen WSNS gedifferentieerd worden om recht te doen aan de verscheidenheid in de capaciteit van kinderen.,Integration,FAVOR
nld: Christian Union,"De bedragen die omgaan in internationale handel en grensoverschrijdende investeringen, en donaties die migranten terugsturen naar de familie in hun thuisland, vormen veel omvangrijker geldstromen.",Integration,AGAINST
nld: Socialist Party,"Illegalen (zoals uitgeprocedeerde asielzoekers) en onverzekerden (zoals zwervers) mogen niet worden uitgesloten van medisch/psychiatrisch noodzakelijke hulp, ook wanneer ze niet kunnen voldoen aan de identificatieplicht.",Integration,FAVOR
nld: Socialist Party,"In het rapport Gedeelde toekomst. Voorstellen voor participatie, emancipatie en integratie doen we een groot aantal voorstellen om de segregatie in onze samenleving te bestrijden, de integratie te bevorderen en discriminatie tegen te gaan.",Integration,FAVOR
nld: Party of Freedom,"Veel problemen, of de intensiteit ervan, vinden hun oorsprong in het ‘opengrenzenbeleid’ zoals dat de afgelopen decennia is gevoerd.",Immigration,AGAINST
nld: Socialist Party,"Waar we ook zijn geboren, we staan er samen voor om ons land weer op te bouwen.",Integration,FAVOR
nld: Christian Democratic Appeal,"Daarbij zal moeten worden gestreefd naar meer samenwerking tussen de EU- (en Schengen) lidstaten, zowel op operationeel (charters) als op diplomatiek niveau.",Immigration,FAVOR
nld: Christian Democratic Appeal,Dat levert ook veel op.,Integration,FAVOR
nld: Party for the Animals,De oorzaken van massale immigratie moeten aangepakt worden.,Immigration,AGAINST
nld: Christian Democratic Appeal,Daarbij bestaat wel het gevaar dat die eigen regio de vluchtelingenstroom niet aankan.,Immigration,AGAINST
nld: Labour Party,Emancipatie- en integratieprogramma´s hebben nadrukkelijk tot doel het isolement van deze vrouwen te doorbreken.,Integration,FAVOR
nld: Party for the Animals,"Asielzoekers dienen, gelijkwaardig aan Nederlandse burgers, alle noodzakelijke medische zorg te krijgen die zij behoeven.",Immigration,FAVOR
nld: Christian Democratic Appeal,"Het niet of onvoldoende meewerken aan inburgering, of het door de aspirant-inburgeraar afwijzen van de Nederlandse samenleving leid tot sancties, in elk geval dat een verblijfsvergunning voor onbepaalde tijd niet wordt verkregen; daar-naast kan sprake zijn van boetes of korting op uitkeringen.",Integration,AGAINST
nld: Green Left,Met name asielzoekers met kinderen  hoeven niet steeds te verhuizen.,Immigration,FAVOR
nld: Labour Party,"Integratie stagneert, de segregatie neemt toe.",Integration,AGAINST
nld: Labour Party,Wij stellen een deltaplan inburgering voor.,Integration,FAVOR
nld: Party of Freedom,"Dubbele nationaliteit stoppen. Wie een andere nationaliteit behoudt, kan geen Nederlander worden",Integration,AGAINST
nld: Christian Democratic Appeal,Goed terugkeerbeleid vergt dat de samenleving in onderhavige geval-len in haar geheel meer gericht meewerkt aan het feitelijk vertrek van uitgeprocedeerde asielzoekers en illegale vreemdelingen.,Immigration,AGAINST
nld: Reformed Political Party,Het dragen van gezichtsbedekkende kleding mag niet belemmerend werken bij het voldoen aan wettelijke en maatschappelijke verplichtingen.,Integration,AGAINST
nld: Reformed Political Party,- Een goed asielbeleid werkt alleen als daar een goed terugkeerbeleid aan vastzit.,Immigration,AGAINST
nld: Socialist Party,Dat geldt ook voor mensen die misbruik maken van hier verblijvende minderjarige asielzoekers.,Integration,AGAINST
nld: Christian Union,De moskee is niet de eerste aangewezen plaats voor het contact tussen overheid en nieuwkomers.,Integration,AGAINST
nld: Green Left,Ons gaat het om emancipatie van het individu.,Integration,FAVOR
nld: Christian Democratic Appeal,De export van kinderbijslag naar landen buiten de EU wordt gestaakt.,Immigration,AGAINST
nld: Reformed Political Party,Bij twijfel geen terugkeer.,Immigration,AGAINST
nld: Party of Freedom,Denaturalisatie en uitzetting recidiverende (Marokkaanse) straatterroristen met dubbele nationaliteit,Immigration,AGAINST
nld: Christian Democratic Appeal,Europese harmonisatie van het asiel-beleid is noodzakelijk.,Immigration,FAVOR
nld: People’s Party for Freedom and Democracy ,Ook biedt goed onderwijs iedere leerling - ongeacht zijn afkomst - kennis van en inzicht in de Nederlandse samenleving en rechtstaat.,Integration,FAVOR
nld: Labour Party,Criminele/overlastgevende illegalen worden gedwongen te vertrekken.,Immigration,AGAINST
nld: Christian Democratic Appeal,Die verschillen spelen een belangrijke rol in ons leven.,Integration,FAVOR
nld: Green Left,Het NAVO-lidmaatschap mag geen belemmering vormen voor verdergaande militaire integratie in Europees verband.,Immigration,AGAINST
nld: Christian Union,Die inburgering houdt niet op bij het afleggen van een examen; ook daarna moet participatie van nieuwkomers gestimuleerd blijven worden.,Integration,FAVOR
nld: Democrats‘66,Want wie participeert die integreert.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Medicalisering van de asielprocedure wordt tegengegaan.,Immigration,AGAINST
nld: Christian Democratic Appeal,2.3.7 De (taal)eisen voor (huwelijks)migranten worden aangescherpt.,Immigration,AGAINST
nld: Green Left,"39. Asielzoekerscentra worden kleinschalig, met voldoende  privacy.",Immigration,FAVOR
nld: Labour Party,"De informatie in de ambtsberichten van het Ministerie van Buitenlandse Zaken, die van invloed zijn op de verblijfsduur van de asielzoeker in Nederland, moet worden verbeterd.",Immigration,FAVOR
nld: Green Left,Europese scholieren en studenten lopen steeds vaker een tijdje stage in een ander land van de Europese Unie.,Integration,FAVOR
nld: Christian Union,Onze multiculturele samenleving is ook een multireligieuze samenleving geworden.,Integration,FAVOR
nld: Christian Union,"Als Nederland voor politieke vluchtelingen geen wijkplaats is, werken wij mee aan hun onderdrukking.",Immigration,FAVOR
nld: Christian Union,Intensiever gebruik van de ongewenstverklaring is een van de middelen die moeten voorkomen dat criminele vreemdelingen of vreemdelingen die banden hebben met terreurorganisaties een verblijfsstatus ontvangen.,Immigration,AGAINST
nld: Socialist Party,"In het verleden zijn altijd mensen uit Nederland geëmigreerd, en mensen uit het buitenland hier komen werken.",Immigration,FAVOR
nld: Party of Freedom,"Criminelen met een niet-Nederlandse nationaliteit gaan, nadat ze hun straf hebben uitgezeten, meteen en onvrijwillig retour afzender.",Immigration,AGAINST
nld: Green Left,Ons land moet ook opkomen voor de vluchtelingen die elders aankloppen.,Immigration,FAVOR
nld: Socialist Party,"Voortijdig schoolverlaten, nu een alarmerend probleem onder allochtone jongeren, moet teruggedrongen worden.",Integration,AGAINST
nld: Party for the Animals,"Een belangrijke oorzaak van immigratie is armoede, honger en klimaatschade elders.",Immigration,NONE
nld: Christian Democratic Appeal,"De aan de verplichte inbur-geringstoets gestelde eisen worden daarom verhoogd, zodat nieuwkomers zijn toege-rust om als ouder, burger en kostwinner te kunnen functioneren in onze samenleving.",Integration,FAVOR
nld: Party for the Animals,Een gelijke beloning voor mannen en vrouwen wordt wettelijk verplicht.,Integration,FAVOR
nld: Socialist Party,"Naast het volgen van cursussen kunnen radio, tv en internet daarbij een rol spelen.",Integration,NONE
nld: Reformed Political Party,"Radicaal-islamitische invloeden vanuit het buitenland, waaronder de komst van haatzaaiende imams naar Nederland, worden met kracht tegengegaan.",Integration,AGAINST
nld: Christian Union,Overtredingen van de strafwet zijn ook strafwaardig als zij religieus zijn gemotiveerd.,Immigration,AGAINST
nld: Reformed Political Party,Anderzijds dienen opvattingen die wortelen in de christelijke traditie gerespecteerd te worden.,Integration,FAVOR
nld: Party for the Animals,De overheid dient daarom (economische) activiteiten te bevorderen die met deze factoren rekening houden.,Integration,FAVOR
nld: Party of Freedom,Wat zeker niet bestaat is een gematigde islam.,Integration,AGAINST
nld: Christian Union,"De liberaal moet de christen zien staan; de moslim de jood; de christen de moslim, enzovoorts.",Integration,FAVOR
nld: Socialist Party,Asielzoekers horen niet thuis in tenten en mogen gewoon werken.,Immigration,FAVOR
nld: Christian Democratic Appeal,"Fatsoen, respect en tolerantie zijn belangrijke aspecten van burgerschap.",Integration,FAVOR
nld: Party of Freedom,"Preekverbod buitenlandse imams, verplichting tot spreken van Nederlandse taal in gebedshuizen",Integration,AGAINST
nld: Democrats‘66,"Een sanctie, bijvoorbeeld in de vorm van een dwangsom, verschaft daarbij de nodige prikkels voor snelheid.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,"Er moet meer samenwerking komen op het gebied van energie, migratie, infrastructuur, onderzoek en ontwikkeling, en criminaliteit- en terrorismebestrijding.",Immigration,AGAINST
nld: Democrats‘66,"Als gevolg van conflict, oorlog en vervolging vluchten vele mensen landsgrenzen over op zoek naar een veilig heenkomen.",Immigration,FAVOR
nld: Reformed Political Party,Terugkeer onder toezicht van de Nederlandse autoriteiten moet daarom uitgebreid worden.,Immigration,AGAINST
nld: Labour Party,Deze gevoelens van vervreemding en –in essentie- onveiligheid spelen mede op door het ongemak dat mensen ervaren bij veranderingen in bevolkingssamenstelling die iedereen kan zien.,Integration,NONE
nld: Labour Party,Het wel of niet toelaten van mensen moet niet afhangen van de dikte van de portemonnee.,Immigration,FAVOR
nld: Democrats‘66,In de inburgeringscursus moet aandacht zijn voor de gelijke behandeling tussen hetero’s en homo’s.,Integration,FAVOR
nld: Reformed Political Party,Bij de bouw van moskeeën en minaretten moet wijze terughoudendheid betracht worden.,Integration,NONE
nld: Party of Freedom,Dankzij die club in Brussel wordt Europa in rap tempo Eurabië.,Immigration,AGAINST
nld: Labour Party,Het is voor hen verschrikkelijk dat veel terroristen zich tegenwoordig beroepen op de islam.,Integration,AGAINST
nld: Party of Freedom,Dus we hebben behoefte aan een selectief migratiebeleid.,Immigration,AGAINST
nld: Reformed Political Party,Het besef drong door dat er óók grenzen zijn aan de instroom van ‘nieuwe Nederlanders’.,Immigration,AGAINST
nld: Democrats‘66,D66 wil geen kinderen in de cel; voor hen moet altijd een alternatief gezocht worden.,Immigration,AGAINST
nld: Christian Democratic Appeal,Ook voor vluchtelingen moet de toegang tot een uitkering daarom afhankelijk worden van medewerking aan een inburgeringtraject en de vervulling van de wettelijke arbeids- en re-integratieplicht.,Integration,AGAINST
nld: Christian Democratic Appeal,Voor de langere termijn streeft het CDA naar een gemeenschappelijk Europees asielbeleid waarbij asielaanvragen en opvang enkel in de regio plaatsvinden en erkende asielzoekers zo nodig via hervestiging naar de EU-landen komen.,Immigration,FAVOR
nld: Socialist Party,Achtereenvolgende regeringen hebben toegestaan dat in de grootste steden witte en zwarte woonwijken en witte en zwarte scholen een normaal verschijnsel zijn geworden.,Integration,NONE
nld: People’s Party for Freedom and Democracy ,Toegelaten vluchtelingen  dienen  snel  kansen  te krijgen  om  in  de  Nederlandse  samenleving  te  integreren.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,maar  ook  voor strenge  eisen  aan  nieuwkomers.,Integration,AGAINST
nld: Socialist Party,Deze vorm van integratie mist echter draagvlak onder de burgers en is een ongewenste stap in de richting van een superstaat Europa.,Integration,AGAINST
nld: Christian Union,"Nederland helpt, zoveel mogelijk in Europees verband, landen die zodoende met de opvang van veel vluchtelingen te maken krijgen.",Immigration,FAVOR
nld: Christian Democratic Appeal,"De inspanningen om met landen van herkomst afspraken te maken over terugkeer en het verbeteren van de procedures voor het afgeven van laissez-passers, zijn een kabinetsbrede verantwoordelijkheid en komen aan de orde in alle internationale contacten met deze landen.",Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,"Zolang gemeenten opvang blijven bieden, is er geen prikkel om Nederland daadwerkelijk te verlaten.",Immigration,AGAINST
nld: Democrats‘66,-Automatisch Nederlanderschap voor in Nederland geboren kinderen wier ouders vijf jaar of langer legaal in Nederland wonen;,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,"Allochtonen die het goed doen, krijgen vaak onterecht de rekening gepresenteerd voor het wangedrag van anderen.",Integration,NONE
nld: Labour Party,Veel mensen voelen zich onvoldoende vertegenwoordigd in het politieke systeem.,Integration,NONE
nld: Labour Party,"Als de Nederlandse taal de komende jaren in de Grondwet wordt opgenomen, dan ook de Friese taal.",Integration,NONE
nld: Reformed Political Party,"Dat is niet alleen een kwestie van economische noodzaak, maar heeft ook te maken met de maatschappelijke vragen waar we tegenaan lopen, bijvoorbeeld in de zorg, wat betreft de integratie, het milieu en de veiligheid.",Integration,FAVOR
nld: Christian Union,De Immigratie- en Naturalisatiedienst dient de asielverzoeken zorgvuldig te toetsen.,Immigration,AGAINST
nld: Party for the Animals,Bij twijfel over de veiligheid van personen bij uitzetting naar het land van herkomst mag hier niet toe worden overgegaan.,Immigration,FAVOR
nld: People’s Party for Freedom and Democracy ,en het huishoudboekje van de overheid moet op orde worden gebracht.,Immigration,AGAINST
nld: Party of Freedom,De liefde voor ons land zal snel afnemen als we immigranten voor tien jaar uitsluiten van de sociale zekerheid.,Integration,AGAINST
nld: Christian Democratic Appeal,Wie Nederland binnenkomt moet deelgenoot van de samenleving worden.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,"Op de basisscholen wil de VVD het onderwijs zodanig intensiveren en toesnijden op de doelgroep (kinderen met weinig taalvaardigheid, tekortschietende opvoeding, weinig discipline) dat aan het eind geen achterstand meer bestaat.",Integration,AGAINST
nld: Christian Democratic Appeal,"effectief optreden tegen terrorisme, mensenhandel, verspreiding van nucleair materiaal en andere vormen van grensoverschrijdende criminaliteit;",Immigration,AGAINST
nld: Christian Union,Het gaat er om een goed evenwicht te vinden tussen snelheid en zorgvuldigheid.,Immigration,FAVOR
nld: Christian Union,We hebben als land van minderheden in dit opzicht een rijke traditie hoog te houden.,Integration,FAVOR
nld: Green Left,Het aanbod moet ook aansprekend zijn voor jongeren en migranten.,Integration,FAVOR
nld: Christian Democratic Appeal,5.2.5. Het CDA neemt interreligieuze en interculturele spanningen buitengewoon serieus.,Integration,NONE
nld: Labour Party,De lasten van asiel moeten ook binnen Europa eerlijk verdeeld worden.,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,De facto neemt Nederland dus nog alleen asielverzoeken op Schiphol in behandeling.,Immigration,NONE
nld: Democrats‘66,Talen zouden zoveel mogelijk door ‘native speakers’ moeten worden gedoceerd.,Integration,FAVOR
nld: Democrats‘66,D66 vindt dat veel asielzoekers en vluchtelingen onnodig lang in onzekerheid verkeren over het wel of niet in Nederland mogen blijven.,Immigration,AGAINST
nld: Green Left,Ook migranten en alleenstaanden leven vaak van een zeer laag inkomen.,Integration,NONE
nld: Christian Union,Streektalen zijn belangrijk voor de eigen identiteit van gemeenschappen.,Integration,FAVOR
nld: Reformed Political Party,"De AIVD, maar ook anderen, waaronder ook de moslimgemeenschap zelf, moeten  alert blijven op radicalisering onder met name jongeren.",Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,"Integendeel: dat stimuleert juist om zo lang mogelijk te blijven, in de hoop alsnog een verblijfsvergunning te verkrijgen.",Immigration,FAVOR
nld: Democrats‘66,Wij willen dat de gemeente meer initiatieven neemt voor zogenoemde short-stay huisvesting.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Dat  kan  alleen  door  een  heldere  en  rechtvaardige asielprocedure:  snel  én  zorgvuldig.,Immigration,FAVOR
nld: Labour Party,"Streng waar misstanden, fraude en misbruik van voorzieningen en procedures moet worden bestreden.",Integration,AGAINST
nld: Reformed Political Party,Wel mogen we minimaal verwachten dat zij zich – evenals elke autochtoon dat behoort - aan de wetten en regels van ons land houden.,Integration,FAVOR
nld: Party for the Animals,Nederland moet een humaan en rechtvaardig asielbeleid toepassen.,Immigration,FAVOR
nld: Green Left,Buitenlandse studenten krijgen makkelijker toegang tot ons hoger onderwijs.,Immigration,FAVOR
nld: Christian Union,"En dan niet op basis van kleur, maar op basis van feitelijke achterstand.",Integration,AGAINST
nld: Christian Union,"diversiteitsbeleid te stimuleren: bedrijven dienen hun organisatie aan te passen aan de mogelijkheden van ouderen, allochtonen en (arbeids)gehandicapten;",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Daarnaast zijn er de aanhoudende problemen met immigratie en integratie.,Integration,AGAINST
nld: Green Left,Per 1 januari 2007 krijgen de inwoners van de landen die in 2004 zijn toegetreden tot de Europese Unie vrije toegang tot de Nederlandse arbeidsmarkt.,Immigration,NONE
nld: Labour Party,In veel steden zijn de spanningen de laatste jaren toegenomen.,Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,"De VVD wil illegaliteit - en het in staat stellen tot illegaal verblijf - strafbaar stellen en is voorstander van een actief opsporings- en uitzettingsbeleid waarbij de prioriteit moet liggen bij illegale, criminele vreemdelingen.",Immigration,AGAINST
nld: Party of Freedom,Islamitische scholen gaan daarentegen dicht.,Integration,AGAINST
nld: Christian Union,Nederland blijft invulling geven aan zijn internationale verantwoordelijkheid om bij te dragen aan de bescherming van vluchtelingen.,Immigration,FAVOR
nld: Green Left,"20. Met hogescholen en universiteiten worden afspraken  gemaakt over meer loopbaankansen voor jongeren, vrouwen en migranten.",Integration,FAVOR
nld: Christian Democratic Appeal,Nederland zet zich in Europees verband in voor verdere harmonisatie van het gezinsmigratiebeleid.,Immigration,AGAINST
nld: Green Left,20. Gedetineerden hebben recht op een eigen cel.,Integration,AGAINST
nld: Reformed Political Party,- De uitvoering van de Wet Inburgering moet voortvarend ter hand worden genomen.,Integration,FAVOR
nld: Labour Party,"Werkgevers die illegalen in dienst nemen en mensen die illegalen uitbuiten, bijvoorbeeld huisjesmelkers, worden hard aangepakt.",Integration,FAVOR
nld: Reformed Political Party,"En ongeacht hun achtergrond verdienen alle personen die in hun land van herkomst gevaar lopen, toelating in Nederland.",Immigration,FAVOR
nld: Christian Union,Zeker de komst van de islam plaatst de samenleving voor een nieuwe uitdaging.,Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,"De VVD wil immigratie beperken,",Immigration,AGAINST
nld: Reformed Political Party,"Ondanks het positieve dat ermee bereikt is, wordt de grondwettelijk verankerde onderwijsvrijheid steeds vaker aangevallen, niet in het minst uit angst voor de islam en het islamitisch onderwijs.",Integration,AGAINST
nld: Christian Union,"Even wicht tussen eigen verantwoordelijkheid en solidariteit gaat gepaard met het uitgangspunt dat de inburgering zelf wordt bekostigd, uitgezonderd vluchtelingen.",Integration,NONE
nld: Christian Democratic Appeal,"2.3.2 Er komt een degelijk, laagdrempelig en toegankelijk cursusaanbod Nederlandse taal, inburgering en algemene ontwikkeling dat is te volgen via internet en digitale televisie-kanalen.",Integration,FAVOR
nld: Labour Party,"Ondernemers die van goedkope illegale arbeidskrachten profiteren, moeten door stevige nationale Europese wetgeving worden aangepakt.",Immigration,AGAINST
nld: Christian Union,"Op eigen initiatief, zonder wettelijke dwang.",Integration,FAVOR
nld: Green Left,die vroeg leren omgaan met verschillen.,Integration,FAVOR
nld: Green Left,43. Wie buiten zijn of haar schuld Nederland niet kan verlaten  wordt niet op straat gezet en krijgt een tijdelijke verblijfsvergunning.,Integration,FAVOR
nld: Christian Democratic Appeal,Er moet een duidelijke koppeling zijn tussen immigratiebeleid en sociale zekerheid.,Immigration,FAVOR
nld: Democrats‘66,Daarom hebben nieuwkomers onze steun.,Integration,FAVOR
nld: Democrats‘66,Het heeft vele vluchtelingen en immigranten onnodig hard getroffen en groot persoonlijk leed teweeggebracht.,Immigration,AGAINST
nld: Socialist Party,Alle vormen van discriminatie en achterstelling moeten hard worden aangepakt.,Integration,FAVOR
nld: Christian Union,"Met 22 gemeenten is specifiek ingezet op het terugdringen van overlast door Marokkaans-Nederlandse probleemjongeren, o.a. door gezinsmanagers en straatcoaches.",Integration,AGAINST
nld: Party for the Animals,Onwil leidt tot sancties.,Integration,AGAINST
nld: Labour Party,Vluchtelingen en asielzoekers dienen in de gelegenheid worden gesteld om (een deel) van het jaar te kunnen werken.,Integration,FAVOR
nld: Labour Party,Emancipatie is en blijft van belang.,Integration,FAVOR
nld: Socialist Party,"De werkloosheid onder migranten, vooral onder jongeren, pakken we aan.",Integration,FAVOR
nld: Socialist Party,"In het basisonderwijs, waar nu al 20 procent van alle leerlingen een niet-westers allochtone afkomst heeft, slagen Turkse en Marokkaanse leerlingen er in om veel van hun achterstand in te lopen en door te stromen naar MBO, HAVO en VWO.",Integration,FAVOR
nld: Christian Union,"De groep daklozen is zeer divers: drugsverslaafden, alcoholisten, psychiatrisch patiënten, asielzoekers zonder opvang, illegalen en zwerfjongeren.",Integration,AGAINST
nld: Labour Party,"Wij staan voor een streng en rechtvaardig asielbeleid, waarbij menselijkheid een belangrijk uitgangspunt is in de omgang met asielzoekers.",Immigration,FAVOR
nld: Christian Union,Om de integratie van Turkse en Marokkaanse Nederlanders te bevorderen wordt de bemoeienis met Nederlandse minderheden vanuit de landen van herkomst ontmoedigd.,Integration,AGAINST
nld: Socialist Party,"De tarieven voor verblijfsvergunningen, die de draagkracht van veel migranten te boven gaan, worden teruggebracht tot het prijsniveau van paspoorten en identiteitsbewijzen.",Immigration,FAVOR
nld: Party of Freedom,De overdraagbaarheid van de algemene heffingskorting willen we versneld afschaffen.,Integration,AGAINST
nld: Green Left,14. Voor huwelijksmigranten van buiten de EU gaat dezelfde  inkomenstoets gelden als voor EU-burgers.,Immigration,NONE
nld: People’s Party for Freedom and Democracy ,en als de aanvrager over een inkomen beschikt van minder dan 120 procent van het minimumloon.,Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,Sinds 1997 zijn in Europese landen minstens 3 miljoen vluchtelingen en illegalen gelegaliseerd door middel van een generaal pardon.,Immigration,AGAINST
nld: Christian Democratic Appeal,"De beheersing van de Nederlandse taal, onderwijs en arbeidsparticipatie zijn belangrijke middelen om te zorgen dat nieuwkomers en hun kinderen de kansen benutten.",Integration,FAVOR
nld: Party of Freedom,Vreemdelingen met een verblijfsvergunning voor bepaalde tijd geen recht meer op bijstand,Integration,AGAINST
nld: Christian Union,De leges voor verblijfvergunningen worden bepaald op een zodanig niveau dat het bedrag zelf geen belemmering vormt voor het verkrijgen van een verblijfsvergunning of gezinshereniging.,Immigration,FAVOR
nld: Socialist Party,Een aanzienlijk deel van de migranten blijft echter hangen in achterstand.,Integration,AGAINST
nld: Christian Union,"Op landen die weigeren uitgeprocedeerde asielzoekers weer op te nemen, dient in EU-verband druk te worden uitgeoefend.",Immigration,FAVOR
nld: People’s Party for Freedom and Democracy ,"Vraagt iemand een verblijfsvergunning ‘asiel’ aan, dan kan dus niet tegelijkertijd of na afwijzing van deze aanvraag een verblijfsvergunning ‘regulier’ worden aangevraagd.",Immigration,AGAINST
nld: Socialist Party,Asielzoekers mogen in geen geval worden opgesloten in detentiecentra als daar geen gegronde reden voor is.,Immigration,FAVOR
nld: Reformed Political Party,Integratie betekent dat nieuwkomers zich met een positieve houding inspannen om deel te nemen en bij te dragen aan onze samenleving.,Integration,FAVOR
nld: Green Left,"Wij vinden dat nieuwkomers die hier vijf jaar verblijven, ook landelijk en Europees stemrecht moeten krijgen.",Integration,FAVOR
nld: Christian Union,Nederlands is er voertaal.,Integration,AGAINST
nld: Democrats‘66,"D66 streeft naar een ‘leerrecht’ vanaf tweeënhalf jaar waarbij een combinatie kan worden gevonden van voorschoolse educatie, kinderopvang en onderwijs.",Integration,FAVOR
nld: Party for the Animals,De PvdD vindt dat asielzoekers binnen een redelijke termijn uitsluitsel moeten krijgen over hun verblijfsrecht in Nederland; mensen die langer dan 4 jaar wachten in een opvangcentrum moeten automatisch een verblijfsvergunning verkrijgen.,Immigration,AGAINST
nld: Labour Party,Hetzelfde geldt voor de integratie.,Integration,FAVOR
nld: Christian Union,"Wij doen dat vanuit een duidelijke en herkenbare visie op menszijn, samenleven en politiek, die is gebaseerd op het christelijk geloof.",Integration,FAVOR
nld: Democrats‘66,Nederland moet een actieve rol gaan spelen bij het ontwikkelen van een ruimhartig Europees vluchtelingen- en asielbeleid.,Immigration,FAVOR
nld: Christian Democratic Appeal,2.3.8 Van vluchtelingen die om politieke of humanitaire redenen asiel in Nederland krijgen mag het verblijfsrecht niet ter discussie staan als zij bijstand aanvragen.,Immigration,FAVOR
nld: Labour Party,"Deze minister kan de bredere coherentieagenda tussen de beleidsterreinen handel, migratie,landbouw en ontwikkelingssamenwerking beter waarborgen in het kabinet.",Immigration,FAVOR
nld: Christian Democratic Appeal,Het moet mogelijk zijn de inburgering sneller af te ronden.,Integration,FAVOR
nld: Party of Freedom,40 procent (!) van het geld in de bijstand wordt gebruikt voor niet-westerse allochtonen.,Integration,AGAINST
nld: Labour Party,Overigens hoort de Islam gewoon bij onze samenleving.,Integration,FAVOR
nld: Party of Freedom,De precieze kosten van de massa-immigratie worden momenteel berekend door onderzoeksinstituut Nyfer.,Immigration,AGAINST
nld: Socialist Party,Uitval kan worden bestreden door individuele contracten en borgsommen.,Integration,FAVOR
nld: Christian Democratic Appeal,"1.3.3 Het integratiebeleid dient gericht te zijn op zowel sociaaleconomische participatie (meedoen via werk) als sociaalmaatschap-pelijke participatie (meedoen aan het dagelijks maatschappelijk verkeer), als poli-tiekbestuurlijke participatie (meedoen in politiek en bestuur).",Integration,FAVOR
nld: Green Left,"In de aanpak van eerwraak, vrouwen besnijdenis en gedwongen huwelijken wordt nauw samen gewerkt met organisaties van migranten(vrouwen).",Integration,AGAINST
nld: Christian Union,Ook in Irak voelen veel christenen zich niet veilig en vluchten naar omliggende landen of naar het Koerdische Noorden (Nineveh-vlakte).,Integration,AGAINST
nld: Socialist Party,Maar toch bestaan er voor veel te veel niet-westerse allochtone jongeren nog steeds grote achterstanden.,Integration,NONE
nld: Green Left,Bij terugkeer nemen ze kapitaal en kennis mee naar hun moederland.,Immigration,FAVOR
nld: Green Left,"Zo kunnen we in gesprek gaan over de kwesties die ons verdelen, zonder elkaar de hersens in te slaan.",Integration,FAVOR
nld: Socialist Party,In andere grote steden zien we eveneens een segregatie ontstaan.,Integration,AGAINST
nld: Democrats‘66,"Het vindt plaats op het werk en in de klas, op straat en in de buurt.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,"Er wordt geen verblijfsvergunning toegekend als de partner jonger is dan 24 jaar,",Integration,NONE
nld: Christian Union,"Een andere grote vraag waar we voor staan, is of we in staat zijn vreedzaam met onze verschillen om te gaan.",Integration,FAVOR
nld: Democrats‘66,"Maatschappelijke aandacht voor de vrouw blijft nodig, in het bijzonder voor de positie van oudere en migrantenvrouwen.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,en de immigratie van kansarmen moet stoppen.,Immigration,AGAINST
nld: Democrats‘66,"Wie in Nederland verblijft, heeft recht op noodzakelijke medische en psychische zorg.",Integration,FAVOR
nld: Socialist Party,Gemeenten krijgen meer ruimte om invulling te geven aan hun zorgplicht voor noodopvang van ex-asielzoekers en illegalen.,Immigration,FAVOR
nld: Christian Democratic Appeal,De resultaten van de pilots met ‘circulaire migratie’ bepalen de ruimte voor verdere ontwikkeling van dit concept.,Immigration,NONE
nld: Christian Democratic Appeal,Voor hen die geen recht op verblijf hebben moet er een goed terugkeerbeleid komen.,Immigration,AGAINST
nld: Green Left,"Partners kunnen na één jaar afhankelijk verblijfsrecht een zelfstandig permanent verblijfsrecht krijgen of eerder als er sprake is van fysiek of psychisch geweld, seksueel misbruik of overlijden van de partner.",Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,"Diegenen  die  te  horen  hebben  gekregen  geen  verblijfsvergunning  te  krijgen, moeten  Nederland  daadwerkelijk  verlaten.",Immigration,AGAINST
nld: Christian Union,Bij deze scholen moet vroegschoolse educatie en onderwijs in de Nederlandse taal aan migrantenkinderen worden aangeboden.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,De VVD wil een eerlijk en restrictief vreemdelingenbeleid.,Immigration,AGAINST
nld: Christian Union,Ze integreert en brengt zelfs veel jongeren over de grenzen van ons land.,Integration,NONE
